run_id,ts,slug,tick,cash,position_side,position_entry,position_qty_tokens,position_notional_usd,entries_up,entries_down,tp_done,quote_up_bid,quote_up_ask,quote_down_bid,quote_down_ask,data
20260706_235841_ma_breakout_sim,,btc-updown-15m-1783349100,17,-1.4000000000000001,up,0.14,10.0,1.4000000000000001,1,0,False,0.13,0.14,0.86,0.87,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783349100"", ""slug_start_ts"": 1783349100, ""time_left_sec"": 62, ""tick"": 17, ""quote"": {""slug"": ""btc-updown-15m-1783349100"", ""up"": {""outcome"": ""Up"", ""token_id"": ""95908102846293491050010087743785382343665095037848312545632964136736390123227"", ""bid"": ""0.13"", ""ask"": ""0.14""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""4015693853302264002589774757612448747043759744800742624277017707831755386101"", ""bid"": ""0.86"", ""ask"": ""0.87""}}}, ""account"": {""position"": {""side"": ""up"", ""entry"": 0.14, ""qty_tokens"": 10.0, ""notional_usd"": 1.4000000000000001}, ""state"": {""slug_idx"": 1, ""entries"": {""up"": 1, ""down"": 0}, ""tp_done"": false}}}"
20260706_235841_ma_breakout_sim,,btc-updown-15m-1783349100,18,-0.40000000000000013,,,,,1,0,False,0.1,0.11,0.89,0.92,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783349100"", ""slug_start_ts"": 1783349100, ""time_left_sec"": 61, ""tick"": 18, ""quote"": {""slug"": ""btc-updown-15m-1783349100"", ""up"": {""outcome"": ""Up"", ""token_id"": ""95908102846293491050010087743785382343665095037848312545632964136736390123227"", ""bid"": ""0.1"", ""ask"": ""0.11""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""4015693853302264002589774757612448747043759744800742624277017707831755386101"", ""bid"": ""0.89"", ""ask"": ""0.92""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 1, ""entries"": {""up"": 1, ""down"": 0}, ""tp_done"": false}}}"
20260706_235841_ma_breakout_sim,,btc-updown-15m-1783349100,20,-1.7000000000000002,up,0.13,10.0,1.3,2,0,False,0.12,0.13,0.87,0.87,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783349100"", ""slug_start_ts"": 1783349100, ""time_left_sec"": 59, ""tick"": 20, ""quote"": {""slug"": ""btc-updown-15m-1783349100"", ""up"": {""outcome"": ""Up"", ""token_id"": ""95908102846293491050010087743785382343665095037848312545632964136736390123227"", ""bid"": ""0.12"", ""ask"": ""0.13""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""4015693853302264002589774757612448747043759744800742624277017707831755386101"", ""bid"": ""0.87"", ""ask"": ""0.87""}}}, ""account"": {""position"": {""side"": ""up"", ""entry"": 0.13, ""qty_tokens"": 10.0, ""notional_usd"": 1.3}, ""state"": {""slug_idx"": 1, ""entries"": {""up"": 2, ""down"": 0}, ""tp_done"": false}}}"
20260706_235841_ma_breakout_sim,,btc-updown-15m-1783349100,34,-0.40000000000000013,,,,,2,0,False,0.13,0.14,0.86,0.87,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783349100"", ""slug_start_ts"": 1783349100, ""time_left_sec"": 44, ""tick"": 34, ""quote"": {""slug"": ""btc-updown-15m-1783349100"", ""up"": {""outcome"": ""Up"", ""token_id"": ""95908102846293491050010087743785382343665095037848312545632964136736390123227"", ""bid"": ""0.13"", ""ask"": ""0.14""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""4015693853302264002589774757612448747043759744800742624277017707831755386101"", ""bid"": ""0.86"", ""ask"": ""0.87""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 1, ""entries"": {""up"": 2, ""down"": 0}, ""tp_done"": false}}}"
20260707_000329_ma_breakout_sim,,btc-updown-15m-1783350900,1086,-3.7,up,0.37,10.0,3.7,1,0,False,0.35,0.37,0.63,0.64,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783350900"", ""slug_start_ts"": 1783350900, ""time_left_sec"": 434, ""tick"": 1086, ""quote"": {""slug"": ""btc-updown-15m-1783350900"", ""up"": {""outcome"": ""Up"", ""token_id"": ""4897064741648705308683332414530066348398740962190504978225310824136813817962"", ""bid"": ""0.35"", ""ask"": ""0.37""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""36290365624494066337791394141771943131016395440667307042374538095787709348293"", ""bid"": ""0.63"", ""ask"": ""0.64""}}}, ""account"": {""position"": {""side"": ""up"", ""entry"": 0.37, ""qty_tokens"": 10.0, ""notional_usd"": 3.7}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 1, ""down"": 0}, ""tp_done"": false}}}"
20260707_000329_ma_breakout_sim,,btc-updown-15m-1783350900,1116,-0.3999999999999999,,,,,1,0,False,0.33,0.34,0.66,0.67,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783350900"", ""slug_start_ts"": 1783350900, ""time_left_sec"": 403, ""tick"": 1116, ""quote"": {""slug"": ""btc-updown-15m-1783350900"", ""up"": {""outcome"": ""Up"", ""token_id"": ""4897064741648705308683332414530066348398740962190504978225310824136813817962"", ""bid"": ""0.33"", ""ask"": ""0.34""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""36290365624494066337791394141771943131016395440667307042374538095787709348293"", ""bid"": ""0.66"", ""ask"": ""0.67""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 1, ""down"": 0}, ""tp_done"": false}}}"
20260707_000329_ma_breakout_sim,,btc-updown-15m-1783350900,1122,-4.4,up,0.4,10.0,4.0,2,0,False,0.39,0.4,0.6,0.61,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783350900"", ""slug_start_ts"": 1783350900, ""time_left_sec"": 397, ""tick"": 1122, ""quote"": {""slug"": ""btc-updown-15m-1783350900"", ""up"": {""outcome"": ""Up"", ""token_id"": ""4897064741648705308683332414530066348398740962190504978225310824136813817962"", ""bid"": ""0.39"", ""ask"": ""0.4""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""36290365624494066337791394141771943131016395440667307042374538095787709348293"", ""bid"": ""0.6"", ""ask"": ""0.61""}}}, ""account"": {""position"": {""side"": ""up"", ""entry"": 0.4, ""qty_tokens"": 10.0, ""notional_usd"": 4.0}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 2, ""down"": 0}, ""tp_done"": false}}}"
20260707_000329_ma_breakout_sim,,btc-updown-15m-1783350900,1130,-1.0,,,,,2,0,False,0.34,0.35,0.65,0.66,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783350900"", ""slug_start_ts"": 1783350900, ""time_left_sec"": 389, ""tick"": 1130, ""quote"": {""slug"": ""btc-updown-15m-1783350900"", ""up"": {""outcome"": ""Up"", ""token_id"": ""4897064741648705308683332414530066348398740962190504978225310824136813817962"", ""bid"": ""0.34"", ""ask"": ""0.35""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""36290365624494066337791394141771943131016395440667307042374538095787709348293"", ""bid"": ""0.65"", ""ask"": ""0.66""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 2, ""down"": 0}, ""tp_done"": false}}}"
20260707_000329_ma_breakout_sim,,btc-updown-15m-1783350900,1453,-2.3,up,0.13,10.0,1.3,3,0,False,0.105,0.13,0.87,0.881,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783350900"", ""slug_start_ts"": 1783350900, ""time_left_sec"": 39, ""tick"": 1453, ""quote"": {""slug"": ""btc-updown-15m-1783350900"", ""up"": {""outcome"": ""Up"", ""token_id"": ""4897064741648705308683332414530066348398740962190504978225310824136813817962"", ""bid"": ""0.105"", ""ask"": ""0.13""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""36290365624494066337791394141771943131016395440667307042374538095787709348293"", ""bid"": ""0.87"", ""ask"": ""0.881""}}}, ""account"": {""position"": {""side"": ""up"", ""entry"": 0.13, ""qty_tokens"": 10.0, ""notional_usd"": 1.3}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 3, ""down"": 0}, ""tp_done"": false}}}"
20260707_000329_ma_breakout_sim,,btc-updown-15m-1783350900,1478,-1.6999999999999997,,,,,3,0,False,0.06,0.08,0.92,0.94,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783350900"", ""slug_start_ts"": 1783350900, ""time_left_sec"": 12, ""tick"": 1478, ""quote"": {""slug"": ""btc-updown-15m-1783350900"", ""up"": {""outcome"": ""Up"", ""token_id"": ""4897064741648705308683332414530066348398740962190504978225310824136813817962"", ""bid"": ""0.06"", ""ask"": ""0.08""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""36290365624494066337791394141771943131016395440667307042374538095787709348293"", ""bid"": ""0.92"", ""ask"": ""0.94""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 3, ""down"": 0}, ""tp_done"": false}}}"
20260707_000329_ma_breakout_sim,,btc-updown-15m-1783350900,1481,-2.6999999999999997,up,0.1,10.0,1.0,4,0,False,0.07,0.1,0.734,0.77,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783350900"", ""slug_start_ts"": 1783350900, ""time_left_sec"": 8, ""tick"": 1481, ""quote"": {""slug"": ""btc-updown-15m-1783350900"", ""up"": {""outcome"": ""Up"", ""token_id"": ""4897064741648705308683332414530066348398740962190504978225310824136813817962"", ""bid"": ""0.07"", ""ask"": ""0.1""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""36290365624494066337791394141771943131016395440667307042374538095787709348293"", ""bid"": ""0.734"", ""ask"": ""0.77""}}}, ""account"": {""position"": {""side"": ""up"", ""entry"": 0.1, ""qty_tokens"": 10.0, ""notional_usd"": 1.0}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 4, ""down"": 0}, ""tp_done"": false}}}"
20260707_000329_ma_breakout_sim,,btc-updown-15m-1783350900,1483,-1.9999999999999996,,,,,4,0,False,0.07,0.07,0.93,0.96,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783350900"", ""slug_start_ts"": 1783350900, ""time_left_sec"": 6, ""tick"": 1483, ""quote"": {""slug"": ""btc-updown-15m-1783350900"", ""up"": {""outcome"": ""Up"", ""token_id"": ""4897064741648705308683332414530066348398740962190504978225310824136813817962"", ""bid"": ""0.07"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""36290365624494066337791394141771943131016395440667307042374538095787709348293"", ""bid"": ""0.93"", ""ask"": ""0.96""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 4, ""down"": 0}, ""tp_done"": false}}}"
20260707_003520_threshold_sim,,btc-updown-15m-1783351800,117,-10.7,down,0.87,10.0,8.7,0,1,False,0.13,0.14,0.86,0.87,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783351800"", ""slug_start_ts"": 1783351800, ""time_left_sec"": 450, ""tick"": 117, ""quote"": {""slug"": ""btc-updown-15m-1783351800"", ""up"": {""outcome"": ""Up"", ""token_id"": ""91579830341135559895647683656076945984627585742623619446101041412915506015682"", ""bid"": ""0.13"", ""ask"": ""0.14""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""15276964374260071089376980452792233292689791871999809955537754444783498984118"", ""bid"": ""0.86"", ""ask"": ""0.87""}}}, ""account"": {""position"": {""side"": ""down"", ""entry"": 0.87, ""qty_tokens"": 10.0, ""notional_usd"": 8.7}, ""state"": {""slug_idx"": 1, ""entries"": {""up"": 0, ""down"": 1}, ""tp_done"": false}}}"
20260711_175525_threshold_sim,,btc-updown-15m-1783759500,1,-8.7,down,0.87,10.0,8.7,0,1,False,0.13,0.14,0.86,0.87,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783759500"", ""slug_start_ts"": 1783759500, ""time_left_sec"": 274, ""tick"": 1, ""quote"": {""slug"": ""btc-updown-15m-1783759500"", ""up"": {""outcome"": ""Up"", ""token_id"": ""56911142972417085714756515912850697346425197387415103997653591012665622424968"", ""bid"": ""0.13"", ""ask"": ""0.14""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""23272979291162788913719915256816954288218294195696875830289040220053975813370"", ""bid"": ""0.86"", ""ask"": ""0.87""}}}, ""account"": {""position"": {""side"": ""down"", ""entry"": 0.87, ""qty_tokens"": 10.0, ""notional_usd"": 8.7}, ""state"": {""slug_idx"": 1, ""entries"": {""up"": 0, ""down"": 1}, ""tp_done"": false}}}"
20260712_223205_threshold_sim,,btc-updown-15m-1783863000,1,-4.099999999999999,,,,,0,0,False,0.53,0.54,0.46,0.47,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783863000"", ""slug_start_ts"": 1783863000, ""time_left_sec"": 774, ""tick"": 1, ""quote"": {""slug"": ""btc-updown-15m-1783863000"", ""up"": {""outcome"": ""Up"", ""token_id"": ""52157227930572033451295552056971739323457467576373031024333252914222991367440"", ""bid"": ""0.53"", ""ask"": ""0.54""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""2739313802440586525870605723509506012619617502809573419774859250415696807269"", ""bid"": ""0.46"", ""ask"": ""0.47""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 1, ""entries"": {""up"": 0, ""down"": 0}, ""tp_done"": false}}}"
